Applicant_ID,Age,Income,Loan_Amount,Credit_Score,Employment_Status,Past_Defaults,Risk_Label
1,34,119174,5826,820,Employed,2,1
2,57,36014,30125,478,Self-Employed,3,1
3,35,49558,45390,382,Employed,5,1
4,53,45280,32451,474,Employed,5,1
5,55,86984,29812,821,Self-Employed,4,1
6,44,131617,27777,423,Employed,0,1
7,54,66830,34287,765,Self-Employed,2,1
8,52,71501,22774,532,Employed,0,1
9,63,54271,32635,438,Unemployed,3,1
10,25,93659,42714,749,Unemployed,5,1
11,50,97557,22915,709,Unemployed,5,1
12,60,20543,24862,441,Self-Employed,3,1
13,65,135881,23990,386,Unemployed,1,1
14,37,140135,47261,439,Unemployed,2,1
15,61,45259,24803,402,Unemployed,1,1
16,43,49399,23081,571,Employed,4,1
17,50,96385,20174,580,Self-Employed,0,1
18,27,24651,29534,404,Unemployed,1,1
19,42,22317,5940,775,Self-Employed,3,1
20,46,122384,24900,403,Employed,0,1
21,63,87760,39506,744,Self-Employed,0,0
22,57,81708,25634,574,Employed,4,1
23,25,23897,36874,362,Employed,3,1
24,34,31335,32064,447,Employed,0,1
25,33,87075,31870,687,Unemployed,5,1
26,39,116409,38580,810,Unemployed,0,0
27,48,123092,26174,462,Employed,5,1
28,48,38140,31714,481,Self-Employed,0,1
29,54,75608,21281,440,Employed,0,1
30,25,23126,13532,402,Employed,3,1
31,34,93435,26431,824,Unemployed,0,0
32,28,99560,27458,798,Employed,5,1
33,57,86906,29937,562,Employed,0,1
34,21,28726,20581,732,Unemployed,2,1
35,56,113820,32005,580,Employed,0,1
36,31,20704,49076,704,Unemployed,0,0
37,56,120962,11642,523,Self-Employed,4,1
38,27,138988,7205,785,Self-Employed,4,1
39,30,103049,8361,844,Unemployed,2,1
40,34,143473,46923,751,Unemployed,5,1
41,56,77218,14955,558,Unemployed,3,1
42,34,68539,16402,336,Self-Employed,5,1
43,41,38525,48582,480,Self-Employed,1,1
44,64,23802,21413,536,Employed,5,1
45,50,128225,23888,776,Unemployed,0,0
46,60,60129,31115,516,Unemployed,3,1
47,57,57291,13046,450,Employed,4,1
48,25,41716,16550,501,Unemployed,5,1
49,38,131140,27321,767,Self-Employed,3,1
50,43,124333,26551,343,Employed,3,1
51,34,92183,36241,835,Self-Employed,4,1
52,30,50360,43547,773,Employed,3,1
53,51,132405,46466,773,Employed,5,1
54,52,28642,39325,589,Employed,2,1
55,27,132947,32518,324,Unemployed,2,1
56,37,48657,47089,353,Employed,4,1
57,47,126957,18122,413,Unemployed,2,1
58,61,45150,15822,588,Employed,4,1
59,64,54027,31813,571,Employed,5,1
60,62,129782,48982,456,Self-Employed,0,1
61,38,20200,43468,547,Employed,2,1
62,51,76087,23357,656,Self-Employed,1,0
63,29,51959,41703,384,Unemployed,4,1
